|rknn|,knn,rknn
11,"[(0.9999532094135044, 3652), (0.9999527072380242, 5063), (0.9999526828846709, 8501), (0.9999508440970365, 9406), (0.9999430418940685, 8415), (0.9999208164699831, 7380), (0.9999109029852088, 291), (0.9999081967576446, 9454), (0.9998716802878, 2135), (0.9998330775060587, 3732)]","[291, 2135, 3652, 3671, 5063, 7380, 8415, 8501, 9406, 9454, 9742]"
7,"[(0.9997165337091366, 5866), (0.9994197938054484, 3254), (0.9991763609331848, 8288), (0.998717007303746, 106), (0.9986713499252104, 4992), (0.9983278844775636, 9069), (0.9981002268742521, 3876), (0.9979280631714055, 6281), (0.9978422462083132, 702), (0.9975162703860364, 6407)]","[106, 3254, 3876, 4992, 5866, 8288, 9069]"
9,"[(0.999971069343434, 6139), (0.999887823668044, 779), (0.9998577737455961, 7935), (0.9998255291092342, 640), (0.9998251054888463, 6563), (0.9997742368583009, 3831), (0.9996508704077413, 3554), (0.9996374587744113, 7432), (0.9996351639984226, 799), (0.999587724408723, 1341)]","[640, 779, 799, 1341, 3554, 3831, 6139, 6563, 7935]"
11,"[(0.9999833412306662, 8909), (0.9999658647237675, 2685), (0.9999288218637795, 9934), (0.9999129055954621, 8927), (0.9998993239437423, 7452), (0.9998993185537318, 4309), (0.9998898268851701, 1624), (0.9998808160956968, 5179), (0.9998746624367427, 7706), (0.9998060480104963, 4233)]","[1624, 2685, 3211, 4233, 4309, 5179, 7452, 7706, 8909, 8927, 9934]"
9,"[(0.9999936620297637, 5850), (0.9999818858860186, 8455), (0.9999789380503226, 6175), (0.9999040143438949, 1856), (0.9997760370077807, 8921), (0.9997607489083835, 6580), (0.999739060100819, 956), (0.9997191035859172, 9968), (0.9996281128505008, 4791), (0.9996168786214779, 9827)]","[956, 1856, 5850, 6175, 6580, 7615, 8455, 8921, 9968]"
8,"[(0.9999809284431984, 7628), (0.9999471974804854, 689), (0.9999303900492162, 4093), (0.9993330758525558, 2626), (0.9992586297852135, 9883), (0.9992393929209943, 8746), (0.9992023726713373, 5608), (0.999046474439334, 6744), (0.9990064509838897, 1436), (0.9988820150013917, 6811)]","[588, 689, 2626, 4093, 6489, 6744, 7628, 9883]"
9,"[(0.9999509134537458, 3220), (0.9999435367983529, 3060), (0.9998798552200612, 7111), (0.9998641171801115, 2847), (0.9998136951325398, 714), (0.9996969297461747, 9866), (0.9994892918188959, 9075), (0.99948574626366, 4091), (0.9993288233934142, 3665), (0.9991608257259139, 5566)]","[714, 1544, 2847, 3060, 3220, 4091, 7111, 9075, 9866]"
11,"[(0.9998845948425872, 7399), (0.9997093751902095, 2033), (0.9996418021087996, 9479), (0.9995603032934661, 3523), (0.9993394062272145, 9965), (0.9992696557415798, 2618), (0.9992063452102568, 4574), (0.9990104526527693, 9794), (0.9989874292888473, 2165), (0.9989855326733513, 8771)]","[2033, 2165, 2278, 2456, 2618, 3523, 5250, 7399, 7723, 9097, 9479]"
9,"[(0.9999961999853634, 296), (0.9999824503109489, 6092), (0.9999808316639297, 1481), (0.9999707322564717, 5419), (0.999963518084545, 6056), (0.9999280066424588, 4048), (0.9999190389988895, 9607), (0.9998919747468544, 8609), (0.9998682314602129, 8118), (0.9998281242669074, 4792)]","[296, 1481, 3143, 4048, 5419, 6056, 6092, 8503, 8657]"
14,"[(0.9998587788936891, 6233), (0.9997637374006241, 5074), (0.9992506853248453, 723), (0.9989812725415963, 8890), (0.9984631357569003, 5487), (0.9981889694352216, 7370), (0.9980974826066419, 8050), (0.9977694938343566, 9593), (0.9976652472006591, 3441), (0.9976390114820252, 4539)]","[723, 3270, 3441, 4246, 4539, 5074, 5323, 5487, 6233, 7370, 7669, 8050, 8890, 9593]"
13,"[(0.9999979296354956, 8823), (0.9999054540091747, 2056), (0.9999033490550987, 3125), (0.999901734332665, 729), (0.9998869762503498, 8810), (0.9998480933380467, 7920), (0.9998105348582651, 6090), (0.9997894574024353, 1009), (0.9997801871732445, 9926), (0.9997422980256966, 7374)]","[729, 858, 1724, 2056, 3125, 3736, 6090, 6991, 7374, 7920, 8810, 8823, 9926]"
10,"[(0.9998919693317023, 6018), (0.999864404815719, 2419), (0.9998550044393925, 5333), (0.999810264751592, 4328), (0.9997661799074726, 9841), (0.9997485793959519, 9659), (0.9997259284718196, 1543), (0.9996871108968132, 792), (0.9996662247784843, 6080), (0.9996317755553693, 9681)]","[792, 1543, 2419, 4328, 5199, 5333, 6018, 6080, 6630, 9841]"
10,"[(0.9999982130776948, 453), (0.9999704144246379, 3863), (0.9999202133720784, 4035), (0.9998540160298255, 967), (0.9998105054885006, 8543), (0.9997860720591433, 5031), (0.9997509720357112, 8516), (0.9997358950417765, 9893), (0.9997238527753458, 7460), (0.9996889862152993, 1033)]","[453, 461, 967, 2075, 3863, 4035, 4373, 8516, 8543, 9989]"
11,"[(0.9999775109262479, 4194), (0.9996404193090727, 1814), (0.9995545814259476, 1916), (0.9995540828194206, 1262), (0.9995521383473338, 392), (0.99954498327005, 2262), (0.9995013799685601, 6918), (0.9994783621141078, 1838), (0.9994402097137057, 5615), (0.9993479669652204, 85)]","[85, 392, 1262, 1282, 1814, 1838, 1916, 2262, 4194, 5615, 6918]"
10,"[(0.9999519922004431, 7086), (0.9999503271149839, 6049), (0.9999340345380293, 5227), (0.9998910060411649, 9823), (0.9998853235260803, 7185), (0.9997927790981052, 8981), (0.9997760516295581, 3041), (0.9997296317130133, 9564), (0.999670437721061, 7247), (0.9996497405209052, 5257)]","[3041, 4565, 5227, 6049, 7086, 7185, 7247, 8981, 9564, 9823]"
9,"[(0.9999853503527721, 1768), (0.9999450788560925, 1462), (0.9999398617881965, 1327), (0.999820279148849, 1603), (0.9998034819659777, 4981), (0.9997771536926415, 4206), (0.9997741265609531, 6833), (0.9997720048924585, 6448), (0.9997359771994038, 3200), (0.9997033991126398, 1350)]","[1327, 1350, 1462, 1603, 1768, 4206, 4981, 6448, 6833]"
1,"[(0.9997295709668985, 3894), (0.999711875091434, 3016), (0.9996850617154589, 794), (0.9996597189868541, 8955), (0.9995611063085386, 441), (0.9994375295038517, 1825), (0.9993844303735154, 775), (0.9993825809311033, 9065), (0.9993218082603187, 9674), (0.9992078976199917, 7172)]",[5775]
10,"[(0.999896521603632, 3110), (0.9998444554782724, 6304), (0.9998269834928458, 1389), (0.9997466522327051, 9053), (0.9996590577559845, 2990), (0.9995137085346837, 6703), (0.9994894142601939, 6497), (0.9993863379555815, 142), (0.9993632607345561, 7249), (0.9993290442963281, 9335)]","[1389, 2990, 3110, 6304, 6497, 6703, 7228, 8127, 9053, 9335]"
14,"[(0.9999992065038855, 862), (0.9999911830002799, 9712), (0.9999877246456618, 2017), (0.9999823589792256, 7698), (0.9999795660118954, 1731), (0.9999774345767036, 3948), (0.9999755280822851, 3884), (0.99996328550015, 2804), (0.9999374378313287, 4895), (0.9999314296021533, 6441)]","[862, 1405, 1731, 2017, 2723, 2804, 3884, 3948, 4661, 4895, 6441, 7698, 8177, 9712]"
8,"[(0.9998666611655386, 9933), (0.999715359573436, 5721), (0.9993679908432689, 8964), (0.9991825174165976, 2575), (0.9989154142804756, 2535), (0.9987555862159357, 8656), (0.9984581311718145, 2491), (0.99808693283164, 8638), (0.9977412186550878, 207), (0.9971675414413752, 4691)]","[2491, 2535, 2575, 5721, 8638, 8656, 8964, 9933]"
15,"[(0.999897723366432, 4472), (0.9997512279822729, 1010), (0.9997280076903721, 5394), (0.9997194307967923, 2230), (0.9996075253264095, 3911), (0.9994658380549378, 3289), (0.9994274486201717, 1688), (0.9994039256233763, 2158), (0.9993037949465702, 402), (0.9992577581252242, 3163)]","[402, 1010, 1688, 1728, 2158, 2230, 2402, 2848, 3163, 3289, 3911, 4472, 5394, 7741, 9316]"
7,"[(0.9999993740972536, 4941), (0.9999798360390997, 222), (0.9999760276126027, 718), (0.9999718987751426, 3292), (0.9999580695558189, 1855), (0.9999076810600271, 3456), (0.9999005195483618, 9290), (0.9998971015454077, 8089), (0.9998534291990958, 4929), (0.9998479979609797, 4895)]","[222, 718, 1855, 3292, 3456, 4941, 8089]"
9,"[(0.9999907426525649, 5259), (0.9999770480776441, 3371), (0.9999667394387134, 9962), (0.9999367957568668, 8702), (0.9999297305935781, 5679), (0.9999292465392934, 6239), (0.9999083440580714, 4132), (0.9998935523795403, 7923), (0.9998891052025117, 9942), (0.9998795014863253, 5808)]","[3371, 4132, 5259, 5679, 5808, 6239, 6787, 8702, 9962]"
11,"[(0.9999997336764014, 4937), (0.9999959107208304, 4975), (0.9999847910259959, 1802), (0.9999703260962836, 8183), (0.9999658383253351, 5409), (0.9999600912887022, 5540), (0.9999494550414336, 1383), (0.9999416106450562, 284), (0.9999396284696047, 4597), (0.9999390419464358, 5863)]","[284, 1141, 1383, 1802, 4001, 4937, 4975, 5409, 5540, 5863, 8183]"
10,"[(0.9999997356454403, 4227), (0.9999523392081444, 1811), (0.9999428522164707, 5456), (0.999931237915302, 1614), (0.9999071255150571, 6294), (0.9998745369010105, 1074), (0.9997545153700249, 1635), (0.9997349739763922, 2350), (0.9997259443196453, 5855), (0.9997227191300762, 5711)]","[1074, 1614, 1771, 1811, 4227, 5456, 5711, 6294, 7109, 8621]"
9,"[(0.9997417018983995, 1493), (0.9997383916826463, 4614), (0.9994836401276705, 8839), (0.9993464345736014, 2146), (0.9992209425108046, 609), (0.9991538739062867, 5404), (0.999010271067449, 6456), (0.9984780526720719, 1316), (0.9984046600671859, 8896), (0.998282233483709, 5723)]","[609, 1493, 2146, 4614, 5404, 6456, 7469, 8839, 8896]"
7,"[(0.9999477539127526, 3778), (0.9999418375502761, 3870), (0.9999358990720302, 4049), (0.9999108330189469, 9024), (0.9999059021427079, 9134), (0.9998640100816404, 2351), (0.9998630487345431, 5662), (0.9998625224134008, 1163), (0.9998546733627781, 7139), (0.9998426891324018, 4716)]","[3778, 3870, 4049, 5662, 7139, 9024, 9134]"
8,"[(0.9997726993346983, 6251), (0.9997626367041366, 3273), (0.999667015308497, 4143), (0.9996493200844322, 2276), (0.9996058274206729, 7948), (0.9995583162616545, 7804), (0.9995138508557222, 653), (0.9994923362409568, 5797), (0.999353812847062, 8713), (0.9993471025146667, 9310)]","[2276, 3273, 4143, 5797, 6251, 7804, 7948, 8713]"
8,"[(0.999968505498274, 5704), (0.9998582096970136, 1988), (0.9998414486701074, 3066), (0.9994238623769919, 3912), (0.9992043673440419, 9119), (0.9990520786001253, 772), (0.9988557026178212, 350), (0.9987146147540217, 9819), (0.9986078101887028, 4178), (0.9985336777798416, 6382)]","[772, 1988, 3066, 3912, 4178, 5704, 6382, 9119]"
14,"[(0.9999942285485192, 8683), (0.9999098834833187, 3620), (0.9998629769633343, 9050), (0.9996970503608289, 3976), (0.9995558481895006, 3801), (0.9994134894596359, 1893), (0.9993478462457813, 4691), (0.9992046120178109, 6589), (0.9988320642863016, 8540), (0.9987217397041238, 9848)]","[1893, 2766, 3620, 3690, 3801, 3806, 3976, 4691, 4742, 6589, 8540, 8683, 9050, 9848]"
12,"[(0.999988890957684, 2677), (0.999983804514458, 7527), (0.9999822805684466, 7159), (0.9999553429939384, 6144), (0.9999386856684955, 1937), (0.9999237469956083, 1013), (0.9998969329493089, 477), (0.9998459072272824, 7711), (0.9998355889566207, 4220), (0.9998349973528275, 3296)]","[477, 1013, 1937, 2677, 2769, 3296, 4220, 6144, 7159, 7527, 7711, 9881]"
9,"[(0.9999890500891215, 4013), (0.9999797772973598, 7727), (0.999978077160559, 9616), (0.9999545202092323, 2706), (0.9999487402924913, 8807), (0.9999087686405986, 8113), (0.999902566157279, 9440), (0.999882578657539, 4364), (0.9998762263928616, 6459), (0.9998746928046278, 5304)]","[2706, 4013, 4230, 5304, 5562, 7727, 8113, 8807, 9616]"
11,"[(0.9999985672355863, 2540), (0.9995573213823173, 1968), (0.9992706380000037, 8922), (0.9990076625919878, 5437), (0.9978060780343726, 5241), (0.9977869722865184, 6218), (0.9972644467610556, 6062), (0.9970527712386752, 4994), (0.9964265979192259, 5075), (0.9956031029793022, 1866)]","[872, 1968, 2540, 4979, 4994, 5075, 5241, 5437, 6046, 6218, 8922]"
11,"[(0.999983848327928, 7097), (0.9999092369610947, 7301), (0.9998808778505234, 3234), (0.999755903367095, 9515), (0.9996520476849353, 7905), (0.9996493530000078, 4405), (0.9994944123530137, 5973), (0.9994668706087296, 3988), (0.9993642537866433, 1589), (0.9993176221632382, 9359)]","[511, 1589, 3234, 3988, 4405, 5973, 7097, 7301, 7905, 9359, 9515]"
12,"[(0.9999957611954378, 3547), (0.9999661642454424, 2349), (0.9999194038198713, 579), (0.9999027229342168, 1305), (0.9998878365425529, 9413), (0.9998776574974473, 4618), (0.9998521054284754, 8164), (0.9998222817755398, 5429), (0.9998202918271364, 4141), (0.9998184307827181, 3800)]","[579, 1305, 2174, 2349, 3547, 3669, 3800, 4141, 4618, 5429, 8164, 9413]"
8,"[(0.9999791368191854, 6041), (0.9999612353318563, 8505), (0.9999488822266234, 1665), (0.9999310064887983, 697), (0.9999250088336159, 6221), (0.9999227359458451, 8624), (0.9999116901993721, 3411), (0.9998928801742027, 3739), (0.9998887358397066, 8023), (0.9998639663309562, 5432)]","[697, 1665, 3411, 5432, 6041, 6221, 8505, 8624]"
12,"[(0.9999899744456135, 1633), (0.9999847816368943, 9139), (0.9999640833846184, 2667), (0.9999639207712506, 3427), (0.9999485640403751, 3167), (0.9999464979083388, 7613), (0.9999407167228909, 6587), (0.999935670286703, 1685), (0.9999234858013891, 7426), (0.9999201590168292, 5081)]","[1633, 1685, 2667, 2913, 3167, 3427, 5081, 6459, 6587, 7426, 7613, 9139]"
9,"[(0.9999971185863601, 5239), (0.9999753151372673, 1676), (0.9999175531090548, 5009), (0.9998872429377741, 2679), (0.9998773126527014, 315), (0.9998684566228861, 9106), (0.9998670728841746, 5287), (0.9998460809488006, 2314), (0.9998226514313994, 5268), (0.9998168689913935, 2962)]","[315, 676, 1676, 2679, 2962, 5009, 5239, 5287, 9106]"
1,"[(0.9996508067589989, 7355), (0.9993484708714891, 3618), (0.9992770907616342, 3943), (0.999231103741652, 6881), (0.9992009659445062, 8390), (0.9991533122794705, 8081), (0.9990594793917719, 2138), (0.9989953588088086, 9423), (0.9989803239460904, 2334), (0.9989624063949338, 5454)]",[3943]
11,"[(0.9999887490922733, 1243), (0.9999885946160961, 8569), (0.999973692476067, 6854), (0.999949887676995, 4032), (0.9999498460402662, 6149), (0.9999451505068984, 3991), (0.9999443502512319, 284), (0.9999409880054424, 7707), (0.999939979999138, 1383), (0.9999180227342408, 7687)]","[284, 1243, 3991, 4032, 5235, 5815, 6149, 6854, 7687, 7707, 8569]"
9,"[(0.999991379518594, 8719), (0.9999329119304762, 472), (0.9999077849907994, 2630), (0.9998903166449631, 5105), (0.9998860774717745, 345), (0.9998484723865786, 7329), (0.9998329365128605, 2204), (0.9997885024715372, 8067), (0.9997876872974943, 7424), (0.9997797229685988, 5739)]","[345, 472, 2204, 2630, 4573, 5105, 5739, 7329, 8719]"
8,"[(0.9999872056762006, 4576), (0.9999102448962803, 110), (0.9998834701657513, 1455), (0.9998405844114943, 7335), (0.9998001431467787, 6002), (0.999786033578369, 5490), (0.9997857653977351, 4815), (0.9997608538238055, 8336), (0.9997467400819972, 873), (0.9997466464776454, 2974)]","[110, 1455, 2974, 4576, 4815, 5490, 6002, 9038]"
12,"[(0.999987729473213, 636), (0.9999454023376128, 9943), (0.9999316734664798, 5977), (0.9999280066996769, 3311), (0.9999206068179353, 7180), (0.9998989713906914, 3305), (0.999891447211365, 2668), (0.999857833004351, 2116), (0.9998553330019176, 2455), (0.9998313365584216, 8313)]","[636, 1790, 1930, 2116, 2455, 2668, 3305, 3311, 5977, 7180, 8313, 9943]"
5,"[(0.9997140212205547, 539), (0.9994431357056279, 7741), (0.999181685088813, 3705), (0.9991338291235847, 2347), (0.998897364263465, 7017), (0.9985514795012324, 1010), (0.998225742375939, 4244), (0.9981743909651472, 2402), (0.9981685695298307, 5246), (0.9981439961923474, 9211)]","[539, 2347, 3705, 7017, 7741]"
11,"[(0.9999903657604339, 9796), (0.9999896789408392, 1122), (0.9999784491602641, 3596), (0.9999672416589133, 2250), (0.9999643750042965, 3052), (0.9999409969707613, 1108), (0.9999276055957892, 9536), (0.9999212301436889, 1734), (0.999908443183707, 6923), (0.9998768474212392, 5690)]","[1108, 1122, 1734, 2250, 3052, 3596, 5462, 5690, 5720, 9536, 9796]"
13,"[(0.9999726353816442, 6530), (0.9999414848009409, 948), (0.9999212565942434, 9626), (0.9999190525613167, 4540), (0.99991141665429, 255), (0.9998963351058893, 4284), (0.9998921095099874, 1473), (0.9998754515368227, 4800), (0.9998689304378428, 4886), (0.9998630028497406, 5910)]","[255, 948, 1473, 3792, 4284, 4540, 4800, 4886, 5910, 6530, 9125, 9626, 9959]"
10,"[(0.9999981115587048, 2415), (0.999996206857643, 6839), (0.9999651082745439, 5929), (0.9999636443278879, 1643), (0.9999584219835317, 6302), (0.9999514916037027, 5825), (0.9999433030441011, 6077), (0.9999417281463342, 8710), (0.9999330258750511, 3874), (0.9999269453092883, 8235)]","[1643, 1858, 2415, 3874, 5825, 5929, 6302, 6839, 7419, 8710]"
12,"[(0.9999999799418269, 2619), (0.9999977518611334, 3337), (0.9999856476955244, 2980), (0.9999174415910096, 4480), (0.9999172091081218, 4068), (0.9999129645707557, 2584), (0.9998668868931601, 1597), (0.9998324556066291, 4086), (0.9998206379671764, 6475), (0.9998144782167986, 2264)]","[1597, 2264, 2584, 2619, 2980, 3005, 3337, 4068, 4086, 4480, 6475, 9585]"
14,"[(0.9999991613511487, 7515), (0.9999765575028514, 1710), (0.9999690840221785, 3302), (0.9999678238649834, 2293), (0.9999650025055523, 6519), (0.9999506540151947, 5120), (0.9999242248800081, 5920), (0.9999184633400734, 507), (0.9999053632777511, 1903), (0.9999044267219382, 5498)]","[507, 927, 1710, 1903, 2293, 3302, 3455, 5120, 5498, 6519, 6736, 7515, 7569, 8655]"
6,"[(0.9986625247694784, 8812), (0.9974891314788726, 1570), (0.997363903337888, 2858), (0.997088250731424, 7415), (0.9969951849625456, 3149), (0.9969228945294252, 5737), (0.9965130967833175, 6188), (0.9964939320464286, 3237), (0.9958655292570605, 7748), (0.99502214485628, 3291)]","[1570, 2858, 3149, 6188, 8812, 9704]"
8,"[(0.9999986321589229, 564), (0.9999819332843349, 3445), (0.9999656575451421, 5633), (0.9999295603525732, 1876), (0.9999286024444963, 8560), (0.9999243942811544, 3488), (0.9999227291473898, 7311), (0.9999057077684316, 2516), (0.9998953264040831, 4103), (0.999874150882758, 426)]","[564, 1876, 2516, 3445, 4103, 5633, 7311, 8560]"
8,"[(0.9999648992325569, 7743), (0.9999572452761449, 5083), (0.9999478983725487, 9508), (0.9999442953961226, 1863), (0.999940544868615, 5191), (0.9999362232024895, 3794), (0.9999272056728098, 3765), (0.9998158521952921, 2260), (0.9998122693273318, 3641), (0.9997551710342073, 396)]","[1863, 2260, 3765, 3794, 5083, 5191, 7743, 9508]"
16,"[(0.9999958870306092, 2905), (0.9999824192989972, 8133), (0.9999571803613814, 878), (0.9999003152397145, 3313), (0.999898424047134, 2356), (0.999854764739753, 6120), (0.9998540917639818, 7064), (0.9998376281833921, 5495), (0.9998364750048239, 7936), (0.9998272651736547, 1702)]","[878, 1380, 1415, 1702, 2315, 2356, 2905, 3313, 5000, 5395, 5495, 6120, 7064, 7259, 7936, 8133]"
11,"[(0.9999322852895197, 969), (0.999907841779484, 4980), (0.9998722491730447, 7119), (0.9998657009083255, 991), (0.9998600989621579, 805), (0.9998486079332192, 7241), (0.9998316618395755, 9667), (0.9998103903990216, 6825), (0.9997869308680996, 965), (0.9997833569407202, 9141)]","[805, 965, 969, 991, 3827, 4980, 6825, 7119, 7128, 7241, 9667]"
9,"[(0.999999644268102, 6813), (0.9999887495752237, 5792), (0.9999702514506198, 912), (0.9999598646357558, 5819), (0.9999474686750753, 9563), (0.9999318279787851, 675), (0.9999228872605606, 9024), (0.9999040656296166, 3755), (0.99988029774497, 9143), (0.9998560899262406, 5969)]","[675, 912, 3864, 5662, 5792, 5819, 6813, 9024, 9563]"
11,"[(0.999975735461914, 6162), (0.999974190109903, 4253), (0.9999734138474781, 5137), (0.9999701646319773, 9729), (0.9999548029440822, 1286), (0.9999359128848415, 3811), (0.9999341350218923, 8144), (0.9998945418432714, 9117), (0.999883754311487, 2249), (0.9998816810970408, 3423)]","[1286, 2249, 2826, 3423, 3811, 4253, 5137, 6162, 8144, 9117, 9729]"
12,"[(0.9999618064156977, 3694), (0.9999365995298899, 3898), (0.999936040668829, 653), (0.9998994577053604, 7804), (0.9998766414556007, 9310), (0.9998410329353341, 7630), (0.9998386117800926, 5159), (0.9998338095542768, 8136), (0.9997756945926571, 4369), (0.9996678219102348, 2276)]","[653, 2276, 3694, 3898, 4369, 5159, 5797, 7630, 7804, 8136, 9310, 9801]"
11,"[(0.9999942851075919, 9803), (0.9999910654137216, 6643), (0.9999186405029807, 1212), (0.9997898048466063, 4492), (0.999769995054388, 5171), (0.9997519319801074, 4218), (0.9997386676706616, 9100), (0.9996922808163953, 7215), (0.9996438790993034, 5489), (0.9996435157170646, 6830)]","[883, 1212, 4218, 4492, 5171, 5489, 6643, 7215, 7631, 9100, 9803]"
12,"[(0.9999885252279868, 6739), (0.9999876690484417, 6398), (0.9999493920007563, 1584), (0.9999206816578063, 9420), (0.9999161399449171, 649), (0.9999041052389435, 1915), (0.9998684721385943, 3047), (0.9998636133474627, 9481), (0.9998047294406934, 6846), (0.9997976724377596, 3364)]","[649, 1584, 1915, 2466, 3047, 3477, 5422, 6398, 6739, 6846, 9420, 9481]"
9,"[(0.9999968370208933, 8372), (0.9999947139992048, 3692), (0.999980063245035, 3131), (0.9999771266480241, 8770), (0.9999534563700075, 3025), (0.9999481273313677, 769), (0.9999471993178419, 906), (0.9999469281036484, 6992), (0.9999411825919393, 9861), (0.9999364814013346, 8599)]","[906, 3025, 3131, 3572, 3692, 5234, 6992, 8372, 8770]"
11,"[(0.9999909458013315, 5016), (0.999985073764072, 4346), (0.9999263121976442, 9719), (0.9998746478306435, 7135), (0.9998625838514972, 3544), (0.9998263275575914, 4271), (0.9997509429914667, 8610), (0.9997026996494481, 4892), (0.9996219075121163, 1047), (0.9995973782409431, 5475)]","[1047, 2065, 3544, 4271, 4346, 4892, 5016, 7135, 8610, 8798, 9719]"
8,"[(0.9999919437607274, 9853), (0.99998658932079, 4217), (0.9999749196471409, 2280), (0.9999441387991186, 3002), (0.9999440403509086, 1772), (0.9999251104499118, 8777), (0.9998863222164355, 9644), (0.9998709407478602, 5205), (0.9998305458850988, 7450), (0.9997909432430238, 6193)]","[1772, 2280, 3002, 4217, 8777, 9031, 9644, 9853]"
8,"[(0.9999571006517309, 8339), (0.9999041122314234, 3086), (0.9996238058956383, 4441), (0.9989899496738295, 7810), (0.9988664849238372, 5248), (0.9985926549228257, 2872), (0.9984473960007546, 4000), (0.9982696768536402, 7536), (0.9982384984005739, 2007), (0.9979550936515823, 8570)]","[2007, 2872, 3086, 4441, 5248, 7810, 8339, 8570]"
7,"[(0.9999794254286838, 9587), (0.9999142082920174, 4780), (0.9997988743406007, 8103), (0.999646877727618, 6662), (0.999605641903882, 9367), (0.9995778924936662, 9070), (0.9995569552334255, 7403), (0.9991181501657296, 8978), (0.999057617927918, 6968), (0.9990156921853791, 6292)]","[4780, 6662, 7403, 8103, 9070, 9367, 9587]"
9,"[(0.999489352114111, 6159), (0.9990818378640426, 450), (0.999039005425931, 4896), (0.9989059202775868, 1852), (0.9984895970736345, 810), (0.9980929631994586, 226), (0.9980150873469977, 351), (0.9974058680018479, 8756), (0.9974019342470768, 2514), (0.9969894459458203, 7846)]","[226, 351, 450, 810, 1852, 2514, 4896, 6159, 8756]"
